name,age,lifestyle,zip code,family status,car,sports,earnings,label,Living area
VnSEFOuL,62.0,cozily,50168.0,married,practical,athletics,102526.0,no response,urban
8Tv0hcce,34.0,active,66479.0,married,expensive,soccer,33006.0,no response,urban
Zny9ysbk,69.0,healthy,16592.0,single,expensive,badminton,118760.0,response,urban
HV3xCamM,57.0,cozily,50068.0,married,practical,soccer,131429.0,response,urban
sflRsQ6v,66.0,cozily,35988.0,single,practical,badminton,96003.0,response,urban
w9voDHj0,21.0,healthy,60039.0,single,expensive,badminton,83376.0,no response,urban
VUkT58V5,22.0,healthy,69662.0,married,practical,badminton,49826.0,no response,rural
HzMvC0c1,59.0,cozily,40432.0,single,practical,soccer,41166.0,response,urban
B9MsYPOR,63.0,active,55994.0,single,practical,badminton,134340.0,response,urban
mWUY9Cjs,31.0,active,37460.0,married,practical,athletics,108695.0,no response,rural
Lavsf4Ms,60.0,cozily,36782.0,single,practical,,49723.0,response,rural
kNAihUVY,38.0,healthy,12447.0,single,expensive,soccer,105801.0,response,rural
FHL6d3WH,36.0,active,56504.0,married,expensive,athletics,79703.0,no response,rural
taO86r6P,30.0,cozily,84343.0,single,expensive,soccer,68693.0,no response,rural
qQSz8WWj,64.0,healthy,66428.0,single,expensive,badminton,111755.0,no response,urban
waFEJp2V,37.0,cozily,18272.0,married,practical,badminton,36430.0,no response,rural
CGEljPBt,61.0,cozily,24254.0,married,practical,soccer,129420.0,response,urban
xQPaw1nF,48.0,cozily,29470.0,single,expensive,badminton,78714.0,no response,rural
TW0vcILS,15.0,cozily,78136.0,married,expensive,soccer,87219.0,no response,rural
VzsFKacF,51.0,cozily,65878.0,married,expensive,,123879.0,no response,urban
39OUyKYK,41.0,cozily,15047.0,married,practical,athletics,137658.0,no response,urban
9uXUHkgm,30.0,cozily,87888.0,single,practical,athletics,89243.0,no response,rural
GXQC3KVx,51.0,active,18734.0,single,expensive,soccer,22977.0,no response,rural
I9SVyAUt,69.0,active,49871.0,married,expensive,badminton,26163.0,response,rural
hjEpM280,58.0,healthy,62849.0,single,expensive,soccer,59449.0,response,rural
H1T9XHHR,42.0,cozily,59763.0,single,expensive,soccer,131437.0,no response,urban
iutFmkL2,46.0,active,38692.0,single,expensive,badminton,80137.0,no response,rural
YbKy0PQ7,19.0,cozily,50378.0,married,practical,,98007.0,no response,urban
BQg9yrvw,24.0,active,87832.0,married,practical,soccer,67545.0,no response,urban
CDXBWyZJ,63.0,active,86216.0,single,practical,athletics,91080.0,response,urban
3yYxpFte,27.0,active,96490.0,married,expensive,soccer,149929.0,response,rural
At76h3t6,60.0,healthy,75536.0,single,practical,,54813.0,response,rural
elkTzJGN,41.0,healthy,70981.0,single,practical,,100388.0,no response,rural
qVbhy5GA,63.0,healthy,41117.0,married,expensive,athletics,116561.0,response,urban
F8dwyNuu,15.0,active,85260.0,married,expensive,athletics,110335.0,no response,urban
gxswUTWs,54.0,active,98387.0,single,expensive,,121867.0,no response,urban
Q2bygRVO,19.0,cozily,38819.0,single,expensive,athletics,28510.0,no response,rural
PXKyaUwn,59.0,cozily,74876.0,married,expensive,athletics,102274.0,response,rural
FnmvD5Rp,27.0,cozily,68083.0,married,expensive,badminton,77466.0,no response,urban
vw2p7EkR,58.0,active,87307.0,married,practical,soccer,63791.0,response,urban
n1XQJ0mm,50.0,active,12609.0,single,practical,athletics,103364.0,response,urban
66MA2Tqh,34.0,healthy,61340.0,married,expensive,,70684.0,no response,rural
CbG0Z3UF,53.0,active,89474.0,single,expensive,athletics,148014.0,response,urban
afMFwPFx,26.0,active,79384.0,married,practical,soccer,104627.0,no response,rural
WHByVff4,33.0,cozily,87140.0,single,expensive,soccer,56971.0,no response,urban
